generation,island_0_mean,island_0_max,island_0_min,island_0_std,island_1_mean,island_1_max,island_1_min,island_1_std,island_2_mean,island_2_max,island_2_min,island_2_std,island_3_mean,island_3_max,island_3_min,island_3_std
0,-5.363754284582411,3.1747540329525847,-13.253320089417645,2.748625662225304,-4.9497760955077545,24.4493546747131,-8.200592472105717,4.546847769697729,-3.943170525631988,16.43189514515822,-13.244355161960513,6.10045500595575,-4.727465252560088,16.43189514515822,-14.19091136148091,4.844222096399075
1,-3.5114284789827366,7.612475519101885,-9.022556602453186,3.839484982993705,-4.540136436142935,24.4493546747131,-13.229754948194769,4.871485657636294,0.2386540586290618,20.85470445311236,-9.884653824685284,8.591211260018513,-0.9027758062423872,16.43189514515822,-6.866070441450207,7.710230317021532
2,-0.5115776053059071,9.159635154039101,-5.915798789041126,3.9551028129961634,-1.3738302566241936,24.4493546747131,-8.25924884290406,7.580601429647489,6.534637961452732,30.626600723448547,-7.286316454114999,9.968422803902781,5.954980100147314,27.85380580819298,-7.768688545739373,10.840133186995939
3,3.2620491677468304,15.276179517972324,-4.30720527155723,3.751276084802159,1.5762317545103608,24.4493546747131,-8.669469887272957,9.387115838611003,12.98730805895029,22.057585323841835,-7.033238062029243,7.2813163265638,14.795789266631354,40.77317713867185,-6.397190023780782,13.575096919362483
4,3.8388345972672853,23.421840257036184,-4.157583124817222,4.8255485344337075,7.970916840039484,24.4493546747131,-11.244035013057015,11.557220061272053,14.450699653396295,28.44484515134514,-5.816204222233118,6.538829106066242,22.723361950749577,37.90566895495234,-7.048452456460767,8.133842838632335
5,9.430058265524936,51.542508993448365,3.1740110356173545,12.055490803155998,17.511916829828873,28.041695319501564,-0.6462989030274908,9.310219560029466,16.359552316677597,30.088054786988042,3.170558428434486,5.026750320681453,29.630634511739913,51.542508993448365,20.648323530071576,6.892497965513512
6,9.456151070511059,40.602460687318576,-7.046778730257584,9.992861466924065,21.187706991185788,24.4493546747131,-5.816604601773463,8.226986921660885,14.621470770622622,28.788029108997453,-8.5494460741409,7.601193010461779,28.33540814357212,40.773951298776375,-4.614532047430146,8.762740983650762
7,14.34322889019642,42.865202103086716,-7.047209502617889,11.208081769359021,24.4493546747131,24.4493546747131,24.4493546747131,0.0,16.939999651967874,24.4493546747131,-4.311520935670412,6.614718096111281,31.671499673975163,46.665748771990195,20.85470445311236,6.257722330485958
8,19.837434292664653,42.83928585257631,-5.816204222233118,12.71652886945309,24.4493546747131,24.4493546747131,24.4493546747131,0.0,21.789945229883187,37.9696760455382,6.45013223863954,4.822389494980504,30.830463670709293,48.67791217250136,12.980877047050289,8.529439124632663
9,25.887648781639115,42.84145397062174,-8.190417156513819,12.03037594695987,24.4493546747131,24.4493546747131,24.4493546747131,0.0,24.574130085862826,36.73777979777801,13.866923392201052,2.990669243035938,30.835171684143393,47.80884174798611,17.544431607383782,7.50001645352986
10,33.8487066665864,47.80828622748099,23.643261402812136,6.653206609021234,26.109400184540558,42.523676384761806,24.4493546747131,4.98563341205572,26.51088029668313,42.523676384761806,24.4493546747131,5.0999540325467,33.846020395242384,47.80828622748099,20.923125310863092,6.774468417991112
11,31.71417765269467,51.64157318466806,16.377114151205376,6.660103190046574,25.56469790242941,51.64157318466806,22.697728530640966,4.800258564952859,24.172309813926713,51.64157318466806,6.255046839719057,7.01689709459173,32.21784910149022,51.64157318466806,16.43189514515822,7.731677466006573
12,33.41204371467633,58.83980789221688,20.738155871330203,7.96929530508269,26.47367811362038,42.52304140492908,16.428818958463573,5.028682103178365,27.079952659927844,41.50232965463653,16.453292332666045,5.242500113394494,31.62242208499682,53.90757619560338,12.996583482032758,9.09573644619455
13,31.605518027865795,44.779988840474196,14.552532951094008,7.019177675416341,27.53772071703851,42.523676384761806,-8.348227312258205,7.5902392096636495,25.746434102999075,44.35620209843921,5.724067072480537,7.134806879882359,31.77852036518631,53.925843682788845,16.43189514515822,8.810518980121747
14,34.23114492440993,42.93618365248739,16.355001165269638,6.317647044641911,28.651245064448496,49.408192835531665,6.445318262411675,7.970232972570133,28.402318171918115,44.46042116538973,15.276611834071701,7.221164783185033,32.07551866682847,62.00755320066037,17.90793909851068,8.460247320297055
15,35.44863472893965,64.73427469674323,21.032809433249767,7.535195787623657,34.12009519197363,64.73427469674323,22.783274440649276,7.569835587322051,31.98565687094608,64.73427469674323,18.595419045859085,8.589911612129324,34.29228144251083,64.73427469674323,24.269109490471113,8.39073193072019
16,35.12296346589453,58.724337960788915,17.66264596723579,7.448903984639378,31.389720426268116,42.41074060304105,16.43189514515822,6.249902218719125,33.59031174820097,45.5234115177201,17.690756559824532,6.982334479459763,33.86126818803447,60.83044337467381,16.43189514515822,8.754758219615104
17,34.541431001693496,49.149730981854574,20.83635992096975,6.655007428682865,31.73735003493667,42.84814503355065,-8.190417156513819,8.439535285719376,33.3913830358348,42.40938309814318,22.716029281963994,5.698834404867092,34.22786629992298,49.36342815099541,15.969212695714912,7.36633324675089
18,33.97807033459767,77.45416711686323,11.752871263407762,11.503934375275692,33.400004929492184,42.88598778310518,6.4765202766662,6.964691308244862,34.95496388793309,54.675179269051604,16.43189514515822,7.127026657447675,33.52511784806791,58.94271070522488,6.433241292463052,8.913202264322129
19,33.42761760818333,58.868363005304374,6.361864507037765,9.964220711607888,31.84635474894448,46.604397304832084,16.409387481590034,7.677010854798311,33.7591286379928,51.918362399835374,14.719736480647349,7.036426860759606,35.17236604405349,43.879091450072416,16.424393432134053,7.026888106526756
