Generation,Avg_Scalar_Fitness,Max_Scalar_Fitness
0,11.7785,78.3529
1,28.7158,78.3529
2,47.3109,78.3529
3,56.5113,93.8691
4,57.8616,93.8691
5,57.4850,93.8691
6,60.6548,93.8691
7,67.4658,93.8691
8,67.5139,93.8691
9,67.5822,93.8691
10,67.0349,93.8691
11,65.5857,93.8691
12,65.7432,93.8691
13,65.8587,93.8691
14,66.4068,93.8691
15,67.7153,93.8691
16,70.2902,93.8691
17,74.7482,93.8691
18,79.2071,96.3429
19,77.4098,96.3429
20,69.4213,96.3429
21,62.6225,96.3429
22,63.0378,96.3429
23,64.1579,96.3429
24,66.8027,96.3429
25,71.7628,96.3429
26,79.7668,96.3429
27,76.4199,96.3429
28,76.7069,96.3429
29,66.6002,96.3723
30,63.0061,96.3723
31,63.2964,96.3723
32,63.3891,96.3723
33,63.1819,97.1915
34,63.0788,97.1915
35,63.1677,97.1915
36,63.3297,97.1915
37,63.5793,97.1915
38,63.8923,97.1915
39,64.0322,97.1915
40,64.1588,97.1915
41,64.1945,97.1915
42,64.2676,97.1915
43,64.2676,97.1915
44,64.3464,97.1915
45,64.6045,97.1915
46,64.7521,97.1915
47,64.5668,97.2134
48,64.8657,97.2134
49,65.4757,97.2134
50,64.9304,97.2134
51,65.3097,97.2134
52,65.4751,97.2134
53,66.3141,97.2134
54,67.3209,97.2134
55,65.4693,97.2134
56,53.5945,97.2134
57,58.4945,97.2134
58,68.4611,97.2134
59,79.3493,97.5116
60,81.1782,97.5116
61,81.3120,97.5133
62,88.0807,97.5133
63,87.7468,97.5133
64,88.5651,97.5133
65,83.2974,97.5133
66,90.3253,97.5133
67,93.9229,97.5133
68,92.5038,98.8130
69,88.8498,98.8305
70,83.3509,98.8305
71,83.9842,99.6909
72,83.2803,99.6909
73,81.7523,99.6909
74,80.7778,99.6909
75,82.6258,99.6909
76,81.4588,99.6909
77,90.7862,99.6909
78,94.0126,99.6909
79,95.5883,99.6909
80,93.5377,99.6909
81,88.3584,99.6909
82,82.8208,99.6909
83,83.7488,99.6909
84,84.7877,99.6909
85,85.9618,99.6909
86,86.6979,99.6909
87,89.9730,99.6909
88,96.6154,99.6909
89,96.5997,99.6909
90,96.9201,99.6909
91,96.7514,99.6909
92,96.7487,99.6909
93,96.4553,99.6909
94,94.9570,99.6909
95,91.9278,99.6909
96,86.7263,99.6909
97,78.2806,99.6909
98,75.0392,99.6909
99,70.0573,99.6909
100,67.8111,99.6909
101,77.7925,99.9260
102,59.4083,99.9260
103,50.5894,99.9260
104,50.7149,99.9260
105,50.8531,99.9260
106,50.8531,99.9260
107,50.9845,99.9260
108,50.9845,99.9260
109,53.6990,99.9260
110,60.4964,99.9260
111,73.3351,99.9260
112,86.1171,99.9260
113,80.8964,99.9260
114,nan,nan
115,92.1751,109.5537
116,88.4634,109.5537
117,86.0278,109.5537
118,85.6641,109.5537
119,85.2149,109.5537
120,84.8258,109.5537
121,84.0767,109.5537
122,82.0252,109.5537
123,82.3191,109.5537
124,83.6464,109.5537
125,86.3852,109.5537
126,91.8138,109.5537
127,95.6601,113.6127
128,104.6464,113.6127
129,107.6051,113.6127
130,106.5678,113.6127
131,104.4654,113.6127
132,100.4210,113.6127
133,108.3881,113.6127
134,107.9773,113.6127
135,107.1000,113.6127
136,105.8916,113.6127
137,102.8136,113.6127
138,104.0015,113.6127
139,109.5615,113.6127
