Generation,Avg_Scalar_Fitness,Max_Scalar_Fitness
0,5.2258,87.6145
1,23.9656,95.1094
2,33.9978,95.1094
3,36.7319,95.1935
4,45.5506,95.1935
5,55.3535,95.1935
6,59.7497,95.1935
7,64.1300,95.1935
8,68.2715,95.1935
9,72.6597,95.1935
10,69.6085,95.1935
11,73.6230,95.1935
12,69.7579,95.1935
13,61.6895,95.1935
14,61.4533,95.6950
15,68.2853,95.6950
16,67.1857,95.6950
17,64.1786,95.6950
18,59.4892,95.6950
19,57.7873,95.6950
20,53.7003,95.6950
21,27.7750,95.7650
22,13.9678,95.7650
23,15.4139,95.7650
24,15.2682,95.7650
25,16.4857,95.7650
26,25.5629,95.7650
27,48.4365,99.4641
28,71.7721,99.4641
29,72.8285,99.4641
30,65.2748,99.5011
31,68.9217,99.5011
32,73.2219,99.5011
33,71.4065,99.5011
34,75.1002,99.5011
35,74.5911,99.5011
36,72.8289,99.5011
37,70.8201,99.5011
38,67.6978,99.5011
39,62.4572,99.5011
40,55.3313,99.5011
41,43.6869,99.5011
42,52.9814,99.5011
43,74.8714,99.5011
44,64.1449,99.5011
45,67.9011,99.5011
46,68.1243,99.5011
47,64.8584,99.5011
48,67.6002,99.5011
49,64.0058,99.5011
50,60.2124,99.5011
51,68.7324,99.5011
52,76.8192,99.5011
53,77.1280,99.5011
54,76.5820,99.5011
55,76.7587,99.5011
56,74.7612,99.5011
57,71.7466,99.5011
58,79.0534,99.5011
59,86.4595,99.5011
60,81.1378,99.5011
61,68.2294,99.5011
62,89.3575,99.5011
63,88.2716,99.5011
64,81.4429,99.5011
65,77.3939,99.5011
66,73.2969,99.5011
67,84.2601,99.8540
68,76.3590,99.8540
69,74.1884,101.3869
70,72.7555,101.3869
71,68.2286,101.3869
72,55.2734,101.3869
73,nan,nan
74,64.1418,101.3869
75,64.5232,101.3869
76,76.5473,101.3869
77,77.7675,101.3869
78,77.2427,101.3869
79,76.7297,101.3869
80,74.1167,101.3869
81,67.8795,101.3869
82,63.8171,101.3869
83,66.0979,101.3869
84,53.0814,101.5791
85,58.7092,101.5791
86,62.5321,101.5791
87,62.5030,101.5791
88,62.6677,101.5791
89,62.7462,101.5791
90,62.9702,101.5791
91,63.4279,101.5791
92,63.6829,101.5791
93,64.8420,101.5791
94,66.3998,101.5791
95,60.7850,101.5791
96,61.0552,101.5791
97,75.2897,103.5946
98,82.3218,103.5946
99,78.3074,103.5946
100,78.1049,103.5946
101,77.9432,103.5946
102,77.8630,103.5946
103,78.3970,103.5946
104,78.4812,103.5946
105,78.9227,103.6815
106,79.6684,103.6815
107,80.3643,103.6815
108,74.5494,103.6815
109,70.9880,103.6815
110,64.5696,103.6815
111,50.7581,103.6815
112,45.2170,103.6815
113,50.0955,103.6815
114,59.8169,103.6815
115,78.1474,103.6815
116,87.9914,103.6815
117,86.6567,103.6815
118,89.7317,103.6815
119,98.8467,103.6815
120,96.8945,103.6815
121,98.9385,103.7100
122,98.5503,103.7100
123,98.7072,103.7215
124,96.0438,103.7774
125,90.4305,103.7774
126,82.7673,103.7774
127,81.2618,103.7774
128,81.2665,103.7774
129,84.7550,103.7774
130,84.2580,103.7774
131,86.4882,103.7774
132,90.7590,103.7774
133,90.5559,103.7774
134,89.7887,103.7774
135,86.6955,103.7801
136,89.3212,103.7801
137,87.6053,103.7801
138,84.4772,103.7801
139,85.9679,103.7801
140,81.0273,103.7801
141,82.3630,103.7801
142,82.6903,103.7801
143,84.3266,103.7801
144,88.8620,103.7801
145,88.6055,103.7801
146,91.7471,103.7801
147,93.0922,103.7801
148,97.9470,103.7801
149,97.7698,103.7801
150,97.2586,103.7801
151,97.2028,103.7801
152,94.5023,103.7801
153,88.3334,103.7801
154,84.6712,103.7801
155,83.6262,103.7801
156,83.1166,103.7801
157,88.5340,103.7801
158,90.7208,103.7801
159,98.1054,103.7801
160,95.1113,103.8206
161,88.5656,103.8206
162,85.4613,103.8206
163,82.9353,103.8206
164,79.0645,103.8206
165,81.3549,103.8206
166,84.8030,103.8206
167,84.7053,103.8206
168,87.7598,103.8206
169,89.2781,103.8206
170,89.1834,103.8206
171,89.0548,103.8206
172,88.8544,103.8206
173,88.5074,103.8206
174,88.0420,103.8206
175,86.3057,103.8206
176,85.9773,103.8206
177,85.6595,103.8206
178,88.1197,103.8206
179,96.4399,103.8206
180,97.6608,103.8206
181,94.7659,103.8215
182,88.4924,104.4844
183,86.3352,104.4844
184,84.1433,104.4844
185,83.9903,104.4844
186,82.5906,104.4844
187,80.5796,104.4844
188,79.5557,104.4844
189,79.8933,104.4844
190,80.7790,104.4844
