Generation,Avg_Scalar_Fitness,Max_Scalar_Fitness
0,nan,nan
1,26.3543,95.7290
2,39.9890,95.7290
3,43.7643,95.7290
4,53.8199,95.7290
5,53.1146,95.7290
6,61.6584,95.7290
7,62.9823,95.7290
8,66.6582,95.7290
9,67.3515,95.7290
10,74.5506,96.0997
11,69.3094,96.0997
12,65.4478,96.0997
13,58.1961,96.0997
14,43.1681,96.0997
15,60.1746,96.0997
16,70.8169,96.0997
17,72.0559,96.0997
18,73.1326,96.0997
19,77.2971,96.0997
20,90.0470,96.0997
21,89.7972,96.1907
22,87.3279,96.1907
23,85.5962,96.1907
24,79.0479,96.1907
25,79.2557,96.1935
26,73.8739,96.1935
27,65.0503,96.1935
28,58.2614,96.1935
29,46.3756,96.1935
30,52.5427,96.1935
31,67.5413,96.1935
32,73.0959,96.1935
33,73.2331,96.1935
34,72.8847,97.2278
35,71.9987,97.2278
36,71.2510,97.2278
37,69.6247,97.2278
38,66.9337,97.2278
39,71.6773,97.2278
40,73.5383,97.5445
41,61.5620,98.2431
42,60.6449,98.2431
43,61.3149,98.2431
44,61.6106,98.2431
45,63.7689,98.2431
46,67.6915,98.2431
47,72.0767,98.2431
48,73.5436,98.2431
49,66.5875,98.2431
50,63.5300,98.2431
51,58.7543,103.7129
52,56.4353,103.7129
53,53.5043,103.7129
54,53.7701,103.7129
55,53.6661,103.7129
56,53.9438,103.7129
57,54.0173,103.7129
58,54.6043,103.7129
59,54.4880,103.7129
60,55.0545,103.7129
61,55.2781,103.7129
62,55.4786,103.7129
63,54.8822,103.7129
64,54.7918,103.7129
65,54.7766,103.7129
66,54.8118,103.7129
67,54.9389,103.7129
68,55.0465,103.7129
69,nan,nan
70,nan,nan
71,77.3504,103.7129
72,78.3098,103.7129
73,71.6395,103.7129
74,76.1991,103.7129
75,81.0051,103.7129
76,70.2042,103.7129
77,63.5822,103.7129
78,62.6382,103.7129
79,63.3681,103.7129
80,62.8154,103.7129
81,63.1258,103.7129
82,63.9997,103.7129
83,64.9704,103.7129
84,66.6159,103.7129
85,66.2530,103.7129
86,69.0369,103.7129
87,73.9704,103.7129
88,68.6434,103.7129
89,69.5747,103.7129
90,81.0649,103.7129
91,68.8490,103.7129
92,78.4177,103.7129
93,88.5740,103.7129
94,97.0027,103.7129
95,97.2101,103.7129
96,98.3546,104.2226
97,96.7898,104.2226
