Generation,Avg_Scalar_Fitness,Max_Scalar_Fitness
0,9.9125,93.8144
1,24.6408,93.8144
2,45.5558,93.8144
3,54.1846,93.8144
4,58.8837,93.8144
5,64.3234,93.8144
6,66.7030,93.8144
7,68.9279,93.8144
8,78.3363,93.8144
9,73.5315,93.8784
10,64.5743,107.2020
11,65.5724,107.2020
12,65.5369,107.2020
13,62.3289,107.2020
14,56.7486,107.2020
15,45.2403,107.2020
16,65.3748,107.2020
17,63.3479,107.2020
18,57.9380,107.2020
19,52.7908,107.2020
20,49.9884,107.2020
21,83.8740,107.2020
22,63.1335,108.1916
23,22.2531,108.1916
24,21.6021,108.1916
25,27.0505,108.1916
26,37.3763,108.1916
27,46.9448,108.1916
28,39.3482,108.1916
29,61.1997,108.1916
30,82.7833,108.1916
31,81.1183,108.1916
32,77.8676,108.1916
33,70.7301,108.1916
34,75.1773,108.1916
35,81.0613,108.1916
36,87.3442,108.1916
37,91.8270,108.1916
38,85.2718,108.1916
39,102.3805,108.1916
40,102.3225,108.1916
41,102.3225,108.1916
42,102.1994,108.1916
43,102.1994,108.1916
44,102.1335,108.1916
45,101.8107,108.1916
46,102.1098,108.1916
47,102.2391,108.1916
48,101.8490,108.1916
49,101.4176,108.1916
50,101.2348,108.1916
51,101.1201,108.1916
52,101.2367,108.1916
53,101.1487,108.1916
54,101.4871,108.1916
55,102.2493,108.1916
56,102.2885,108.1916
57,102.1549,108.1916
58,102.1423,108.1916
59,101.9852,108.1916
60,101.8756,108.1916
61,101.6877,108.1916
62,102.6132,108.1916
63,102.5120,108.1916
64,102.7355,108.1916
65,102.3767,108.1916
66,102.3121,108.1916
67,102.5600,108.1916
68,102.5620,108.1916
69,102.4342,108.1916
70,102.1732,108.1916
71,101.9546,108.1916
72,101.8583,108.1916
73,101.9392,108.1916
74,101.8985,108.1916
75,101.6829,108.1916
76,101.1602,108.1916
77,101.9162,108.1916
78,101.8063,108.1916
79,101.6635,108.1916
80,101.4790,108.1916
81,101.2214,108.1916
82,100.9642,108.1916
83,100.7758,108.1916
84,100.7758,108.1916
85,100.6538,108.1916
86,100.4534,108.1916
87,100.4534,108.1916
88,100.4514,108.1916
89,100.3446,108.1916
90,100.4227,108.1916
91,100.4227,108.1916
92,100.1217,108.1916
93,100.0312,108.1916
94,100.1417,108.1916
95,100.0324,108.1916
96,99.9311,108.1916
97,99.7501,108.1916
98,99.6455,108.1916
99,100.0032,108.1916
100,99.9711,108.1916
101,100.1010,108.1916
102,100.1416,108.1916
103,100.0431,108.1916
104,100.2117,108.1916
105,100.2014,108.1916
106,99.9588,108.1916
107,99.8949,108.1916
108,100.0210,108.1916
109,99.7884,108.1916
110,99.6677,108.1916
111,99.7636,108.1916
112,99.4754,108.1916
113,99.5159,108.1916
114,99.4156,108.1916
115,99.3023,108.1916
116,99.0635,108.1916
117,98.8294,108.1916
118,99.5127,108.1916
119,99.4683,108.1916
120,99.7940,108.1916
121,99.6203,108.1916
122,100.0295,108.1916
123,100.5823,108.1916
124,100.2254,108.1916
125,100.0974,108.1916
126,99.7074,108.1916
127,99.5704,108.1916
128,99.4119,108.1916
129,99.3738,108.1916
130,100.0117,108.1916
131,99.9503,108.1916
132,100.5654,108.1916
133,100.6608,108.1916
134,100.6009,108.1916
135,100.4371,108.1916
136,100.2092,108.1916
137,100.1335,108.1916
138,100.0856,108.1916
139,100.1039,108.1916
140,100.1501,108.1916
141,99.9333,108.1916
142,100.0846,108.1916
143,99.8790,108.1916
144,100.3714,108.1916
145,102.3911,108.1916
146,102.2424,108.1916
147,102.1400,108.1916
148,101.9940,108.1916
149,101.9628,108.1916
150,101.9628,108.1916
151,102.0267,108.1916
152,102.1206,108.1916
153,102.1147,108.1916
154,102.4748,108.1916
155,102.4440,108.1916
156,102.3049,108.1916
157,102.3669,108.1916
158,102.4792,108.1916
159,102.6997,108.1916
160,102.6478,108.1916
161,102.6478,108.1916
162,102.3763,108.1916
163,102.4153,108.1916
164,102.4153,108.1916
165,102.4153,108.1916
166,102.4153,108.1916
167,102.4153,108.1916
168,102.2467,108.1916
169,102.0682,108.1916
170,102.0682,108.1916
171,101.9824,108.1916
172,101.9824,108.1916
173,101.9824,108.1916
174,101.8214,108.1916
175,101.9227,108.1916
176,101.8319,108.1916
177,102.8374,108.1916
178,102.9051,108.1916
179,102.7133,108.1916
180,102.6204,108.1916
181,102.5538,108.1916
182,102.4362,108.1916
183,102.4344,108.1916
184,102.4294,108.1916
185,102.3429,108.1916
186,102.2869,108.1916
187,103.2202,108.1916
188,103.2202,108.1916
189,103.2202,108.1916
190,103.2843,108.1916
191,103.2775,108.1916
192,103.1528,108.1916
193,103.1208,108.1916
194,103.1208,108.1916
195,102.9727,108.1916
196,103.5110,108.1916
197,103.4010,108.1916
198,103.4917,108.1916
199,103.4917,108.1916
200,103.2913,108.1916
201,103.2233,108.1916
202,103.1552,108.1916
203,103.1552,108.1916
204,103.1552,108.1916
205,103.0629,108.1916
206,103.0629,108.1916
207,103.0629,108.1916
208,103.0629,108.1916
209,103.3889,108.1916
210,103.3889,108.1916
211,103.1851,108.1916
212,103.0664,108.1916
213,103.0997,108.1916
214,103.0997,108.1916
215,102.9746,108.1916
216,103.0353,108.1916
217,103.0686,108.1916
218,102.9917,108.1916
219,103.2067,108.1916
220,103.1141,108.1916
221,103.0128,108.1916
222,103.0128,108.1916
223,103.1810,108.1916
224,103.0749,108.1916
225,103.0749,108.1916
226,102.9742,108.1916
227,102.8871,108.1916
228,102.8425,108.1916
229,102.8425,108.1916
230,102.8054,108.1916
231,102.8307,108.1916
232,102.8307,108.1916
233,102.6353,108.1916
234,102.6353,108.1916
235,102.6353,108.1916
236,102.6353,108.1916
237,102.5491,108.1916
238,102.5491,108.1916
239,102.5491,108.1916
240,102.5491,108.1916
241,102.4786,108.1916
242,102.4786,108.1916
243,102.3219,108.1916
244,102.3219,108.1916
245,102.3885,108.1916
246,102.3885,108.1916
247,102.6379,108.1916
248,102.5612,108.1916
249,102.5080,108.1916
250,102.5080,108.1916
251,102.5080,108.1916
252,102.5080,108.1916
253,102.5080,108.1916
254,102.5877,108.1916
255,102.4809,108.1916
256,102.4268,108.1916
257,102.7078,108.1916
258,102.6010,108.1916
259,102.5709,108.1916
260,103.5856,108.1916
261,103.5856,108.1916
262,103.5215,108.1916
263,103.5215,108.1916
264,103.5215,108.1916
265,103.5215,108.1916
266,103.4245,108.1916
267,103.4245,108.1916
268,103.1492,108.1916
269,103.0216,108.1916
270,103.0216,108.1916
271,103.0216,108.1916
272,103.0216,108.1916
273,103.0654,108.1916
274,103.0654,108.1916
275,103.4821,108.1916
276,103.3940,108.1916
277,103.3940,108.1916
278,103.3613,108.1916
279,103.2684,108.1916
280,103.1233,108.1916
281,103.0929,108.1916
282,103.0341,108.1916
283,103.1083,108.1916
284,102.8876,108.1916
285,102.8876,108.1916
286,102.7979,108.1916
287,102.9916,108.1916
288,102.9162,108.1916
289,102.7824,108.1916
290,102.7824,108.1916
291,102.7158,108.1916
292,102.6491,108.1916
293,102.5463,108.1916
294,102.5463,108.1916
295,102.3828,108.1916
296,102.3828,108.1916
297,102.3828,108.1916
298,102.3527,108.1916
299,102.3527,108.1916
300,102.3527,108.1916
301,102.5564,108.1916
302,102.5267,108.1916
303,102.5267,108.1916
304,102.3341,108.1916
305,102.3341,108.1916
306,102.2044,108.1916
307,102.2044,108.1916
308,102.2044,108.1916
309,102.2044,108.1916
310,102.2044,108.1916
311,102.3016,108.1916
