,avg_enemy_life,avg_player_life,avg_time
count,21.0,21.0,17.0
mean,1.4933235341865407,2.731463233047063,201.13323864350122
std,27.85292257088424,7.618503076549626,20.127703380478508
min,-18.301270189221924,-7.7212017020053905,151.2368811623861
25%,-17.812403042353964,-4.881355562517365,205.9772676360603
50%,-13.51707643822971,3.771761727444804,206.5555989056297
75%,12.528433331754089,10.77180900690972,209.5267587776301
max,78.92885453865887,12.864712582366778,221.9492270149424
