Generation,Avg_Scalar_Fitness,Max_Scalar_Fitness
0,nan,nan
1,26.3529,95.7290
2,37.7476,95.9824
3,44.2448,95.9824
4,50.3711,95.9824
5,51.9523,95.9824
6,55.2309,95.9824
7,57.7094,95.9824
8,58.4205,95.9824
9,41.1353,95.9824
10,62.0576,95.9824
11,69.2299,95.9824
12,65.9373,95.9824
13,66.4929,95.9824
14,67.3556,95.9824
15,69.1035,95.9824
16,65.9108,95.9824
17,76.7886,95.9824
18,89.4086,96.4888
19,86.2079,96.4888
20,80.9290,96.4888
21,79.7940,96.4888
22,71.9212,96.4888
23,70.9431,96.4888
24,65.6037,96.4888
25,57.0495,96.4888
26,63.6994,96.4888
27,59.3751,96.4888
28,61.6635,96.4888
29,61.7567,96.4888
30,61.9056,96.4888
31,62.3232,96.4888
32,62.8436,96.4888
33,63.0480,100.7256
34,61.9524,100.7256
35,62.5492,100.7256
36,62.2341,100.7256
37,62.5280,100.7256
38,62.7585,100.7256
39,63.6338,100.7256
40,64.3346,100.7256
41,65.8209,100.7256
42,64.4520,103.4027
43,62.3980,103.4027
44,62.0424,103.4027
45,61.8268,103.4027
46,62.0442,103.4027
47,62.0459,103.4027
48,62.4043,103.4027
49,63.7285,103.4027
50,75.4432,103.7137
51,87.5971,103.7137
52,95.8300,103.7137
53,97.0205,103.7137
54,91.8823,103.7137
55,80.2680,104.3066
56,83.0395,104.3066
57,83.0897,104.3066
58,78.2218,104.3066
59,74.3784,104.3066
60,68.6555,104.3066
61,74.3032,104.3066
62,74.7781,104.3066
63,75.7999,104.3066
64,78.8814,104.3066
65,87.5126,104.3066
66,85.1899,104.3691
67,82.3946,104.3691
68,77.6994,104.3691
69,82.9667,104.5638
70,94.1550,104.5638
71,98.2422,104.5638
72,98.0097,104.5638
73,94.5038,104.5638
74,86.8596,104.8634
75,81.4382,105.4364
76,75.6007,105.4364
77,74.4593,105.4364
78,72.3322,105.4364
79,71.0299,105.4364
80,69.8997,105.4364
81,70.5047,105.4364
82,70.7226,105.4364
83,70.8763,105.4365
84,70.6826,105.4377
85,70.9657,105.4377
86,71.6722,105.4377
87,75.1839,105.4377
88,82.4412,105.4377
89,85.6159,105.4377
90,81.9120,105.4377
91,83.0242,105.4377
92,87.5619,105.4377
93,81.6275,105.6404
94,85.0324,105.6404
95,89.5399,105.6404
96,98.6802,105.6404
97,99.7148,105.6404
98,99.5086,105.6404
99,99.9348,105.6404
100,99.7694,105.6404
101,99.7050,105.6404
102,99.4551,105.6404
103,96.9685,106.4027
104,91.1864,106.4027
105,85.3984,106.4027
106,82.1886,106.4027
107,78.7664,106.4027
108,75.4451,106.4027
109,71.0217,106.4027
110,71.7668,106.4027
111,72.3764,106.4027
112,71.7342,106.4027
113,71.9721,106.4027
114,72.2919,106.4027
115,72.6748,106.4027
116,72.6275,106.4027
117,72.3445,106.4027
118,72.2529,106.4027
119,72.9995,106.4027
120,72.8772,106.4027
121,72.9323,106.4027
122,72.7880,106.4027
123,72.5455,106.4027
124,73.0073,106.4027
125,73.2392,106.4027
126,73.1814,106.4027
127,73.5782,106.4027
128,73.6783,106.4027
129,73.8217,106.7732
130,74.1744,106.7732
131,73.9640,106.7732
132,74.2887,106.7732
133,74.7560,106.7732
134,74.8705,106.7732
135,74.9772,106.7732
136,75.3550,106.7732
137,75.2044,106.7732
138,75.0422,106.7732
139,74.1775,106.7732
140,74.4798,106.7732
141,74.7790,106.7732
142,74.7545,106.7732
143,74.7483,106.7732
144,74.7726,106.7732
145,74.7819,106.7732
146,74.5945,106.7732
147,74.7110,106.7732
148,74.6433,106.7732
149,74.6585,106.7732
150,74.9992,106.7732
151,74.8369,106.7732
152,74.3126,106.8114
153,74.0701,106.8114
154,74.6743,106.8114
155,74.4439,106.9159
156,75.2178,106.9159
157,75.5823,109.4702
158,75.4680,109.4702
159,73.4475,109.4702
160,74.7031,109.4873
161,74.6826,109.4873
162,74.8596,109.4873
163,75.0931,109.4873
164,75.3272,109.4873
165,75.2343,109.4873
166,75.5602,109.4873
167,75.5571,109.4873
168,75.3933,109.4873
169,81.1241,109.4873
170,90.4980,109.6914
171,87.9349,109.6914
172,86.5097,109.6914
173,83.0777,109.6914
174,86.6264,109.6914
175,72.8072,109.6914
176,72.2506,109.6914
177,72.6280,109.7272
178,73.0752,109.7272
179,73.4847,109.7272
180,73.8967,109.7272
181,72.7312,109.7272
182,72.8104,109.7272
183,75.4296,109.7272
184,81.1553,109.7272
185,76.7237,109.9911
186,74.4448,109.9911
187,76.1826,109.9911
188,76.1378,109.9911
189,76.2851,109.9911
190,76.3873,110.0345
191,76.9068,110.0345
192,77.2600,110.0345
193,77.1680,110.0345
194,77.8550,110.0345
195,77.7995,110.0345
196,76.4510,110.0345
197,76.8253,110.0345
198,76.5575,110.0345
199,76.8050,110.0345
200,77.0574,110.0345
201,76.9626,110.0345
202,77.4953,110.0345
