Generation,Avg_Scalar_Fitness,Max_Scalar_Fitness
0,4.1143,90.0269
1,24.1069,90.0269
2,31.9477,90.0269
3,40.6193,95.8919
4,45.5980,95.8919
5,45.1673,95.8919
6,50.0223,95.8919
7,48.2692,95.8919
8,55.9332,95.8919
9,74.2139,95.8919
10,59.0320,96.0537
11,43.3200,96.0537
12,66.5949,96.0537
13,66.8577,96.0537
14,69.3052,96.0537
15,73.3802,96.0537
16,78.2403,96.3460
17,71.6478,96.3460
18,67.9690,96.3460
19,52.1663,96.3460
20,19.9468,96.3460
21,15.4754,96.6199
22,13.6329,96.6199
23,17.5601,96.6199
24,20.0905,96.6199
25,25.4709,96.6199
26,nan,nan
27,nan,nan
28,77.6479,96.6199
29,78.7435,96.6199
30,78.5560,97.1746
31,73.9774,97.1746
32,73.2126,97.1746
33,72.6001,97.1746
34,72.1914,97.4885
35,75.5830,97.4885
36,75.6294,98.8877
37,76.1518,98.8877
38,76.2402,98.8877
39,76.2865,98.8877
40,76.1410,98.8877
41,75.5875,98.8877
42,76.2874,98.8877
43,71.3048,98.8877
44,64.0083,98.8877
45,47.4323,98.8877
46,36.8410,98.8877
47,16.4228,98.8877
48,24.8305,98.8877
49,40.5440,98.8877
50,71.8045,98.8877
51,78.3981,98.8877
52,70.8718,98.8877
53,80.8104,98.8877
54,83.9605,98.8877
55,81.3909,98.8877
56,79.6018,98.8877
57,80.0661,98.8877
58,80.0010,98.8877
59,80.4431,98.8877
60,79.7923,98.8877
61,75.9250,98.8877
62,76.2856,99.3176
63,64.6562,99.3176
64,46.2627,99.3176
65,nan,nan
66,59.3325,99.3176
67,60.5280,99.3176
68,65.3574,99.3176
69,61.2512,99.3176
70,39.2450,100.0781
71,31.2293,100.0781
72,31.9947,100.0781
73,32.7039,100.0781
74,32.3735,100.0781
75,31.3530,100.0781
76,31.2859,100.0781
77,31.4947,100.0781
78,32.3149,100.0781
79,33.2347,100.0781
80,32.3111,100.0781
81,31.7991,100.0781
82,32.7650,100.0781
83,32.8653,100.0781
84,33.5971,100.0781
85,33.4899,100.0781
86,33.6883,100.0781
87,33.9675,100.0781
88,33.9668,100.0781
89,34.5704,100.0781
90,35.1565,100.0781
91,35.9139,100.0781
92,37.0706,100.0781
93,37.2774,100.0781
94,37.2774,100.0781
95,36.9383,100.0781
96,35.8817,100.0781
97,35.4195,100.0781
98,36.1731,100.0781
99,34.5502,100.0781
100,35.2747,100.0781
101,35.6781,100.0781
102,37.0639,100.0781
103,38.3989,100.0781
104,38.5380,100.0781
105,38.5532,100.0781
106,37.3840,100.0781
107,37.0594,100.0781
108,37.6538,100.0781
109,37.4459,100.0781
110,36.3886,100.0781
111,37.0318,100.0781
112,37.1737,100.0781
113,36.7137,100.0781
114,37.9066,100.0781
115,38.2156,100.0781
116,36.9020,100.0781
117,37.9232,100.0781
118,39.0310,100.0781
119,39.8472,100.0781
120,40.2475,100.0781
121,40.2637,100.0781
122,40.6869,100.0781
123,38.3734,100.0781
124,38.9743,100.0781
125,39.8861,100.0781
126,40.3393,100.0781
127,41.1667,100.0781
128,42.1685,100.0781
129,43.2057,100.0781
130,44.1126,100.0781
131,42.7622,100.0781
132,42.9020,100.0781
133,39.8718,100.0781
134,40.4571,100.0781
135,42.4232,100.0781
136,44.6575,100.0781
137,45.8849,100.0781
138,45.7755,100.0781
139,47.4782,100.0781
140,48.4069,100.0781
141,48.4273,100.0781
142,49.0377,100.0781
143,49.6293,100.0781
144,50.2822,100.0781
145,nan,nan
146,90.8336,100.5803
147,88.6104,100.5803
148,85.8637,100.5803
149,85.4265,100.5803
150,85.0953,100.5803
151,79.4116,100.5803
152,85.5826,100.5803
153,85.5961,100.5803
154,89.9408,100.5803
