Generation,Avg_Scalar_Fitness,Max_Scalar_Fitness
0,11.7785,78.3529
1,28.8290,78.3529
2,49.3309,78.3529
3,55.5140,85.3813
4,58.4211,85.3813
5,63.1465,85.3813
6,62.6585,85.3813
7,66.4229,85.3813
8,66.1721,85.4390
9,69.8615,85.4390
10,75.2470,86.3585
11,74.1739,86.3585
12,76.9736,86.3585
13,72.3603,104.5793
14,70.0477,104.5793
15,68.8851,104.5793
16,70.9183,104.5793
17,68.6278,104.5793
18,71.5439,104.5793
19,72.3620,104.5793
20,68.3787,104.5793
21,61.3436,104.5793
22,62.0428,104.5793
23,62.2565,104.5793
24,63.0330,104.5793
25,64.5152,104.5793
26,67.3222,104.5793
27,73.3125,104.5810
28,85.0570,104.5810
29,84.5739,107.2094
30,69.3856,111.7811
31,65.9801,111.7811
32,61.5479,111.7811
33,77.0281,111.7811
34,83.7935,111.7811
35,84.8521,111.7811
36,83.9558,111.7811
37,82.2754,111.7811
38,79.4057,111.7811
39,73.6699,111.7811
40,77.9340,111.7811
41,72.4813,111.7811
42,70.0962,111.7811
43,78.2669,111.7811
44,94.3612,111.7811
45,106.3757,111.7811
46,106.3757,111.7811
47,106.0060,111.7811
48,106.0060,111.7811
49,106.0061,111.7811
50,105.7302,111.7811
51,105.9072,111.7811
52,106.2810,112.0099
53,106.4217,112.0099
54,105.5847,112.0099
55,105.4938,112.0099
56,104.0016,112.0099
57,101.7522,112.0099
58,97.4941,112.0099
59,90.4937,112.0099
60,105.6664,112.0099
61,106.4083,112.0099
62,106.5958,112.0099
63,106.3675,112.0099
64,106.2930,112.0099
65,106.5998,112.0099
66,106.3760,112.0099
67,106.4042,112.0099
68,106.4042,112.0099
69,106.0049,112.0099
70,106.1141,112.0099
71,105.8681,112.0099
72,106.5996,112.0099
73,106.1983,112.0099
74,106.0119,112.0099
75,106.0119,112.0099
76,105.9939,112.0099
77,107.0426,112.0099
78,106.9441,112.0099
79,106.8434,112.0099
80,106.8434,112.0099
81,106.7364,112.0099
82,106.6335,112.0099
83,106.4211,112.0099
84,106.2001,112.0099
85,106.1086,112.0099
86,105.9535,112.0099
87,106.4709,112.0099
88,106.3068,112.0099
89,106.5020,112.0099
90,106.1409,112.0099
91,105.9701,112.0099
92,105.7517,112.0099
93,106.0202,112.0099
94,106.6830,112.0099
95,106.4969,112.0099
96,106.4113,112.0099
97,107.1828,112.0099
98,107.0873,112.0099
99,107.1830,112.0099
100,107.1937,112.0099
101,107.3725,112.0099
102,107.0551,112.0099
103,107.3737,112.0099
104,107.0400,112.0099
105,107.0692,112.0099
106,107.0720,112.0099
107,106.6386,112.0099
108,106.4621,112.0099
109,105.8980,112.0099
110,106.6042,112.0099
111,106.5458,112.0099
112,106.4584,112.0099
113,106.4584,112.0099
114,106.2900,112.0099
115,106.2865,112.0099
116,106.3762,112.0099
117,106.2969,112.0099
118,106.4119,112.0099
119,106.2550,112.0099
120,106.0171,112.0099
121,106.0257,112.0099
122,106.7202,112.0099
123,107.6896,112.0099
124,107.6214,112.0099
125,107.6214,112.0099
126,107.8165,112.0099
127,107.6783,112.0099
128,107.8608,112.0099
129,107.6052,112.0099
130,107.7535,112.0099
131,107.7944,112.0099
132,107.7403,112.0099
133,108.4395,112.0099
134,108.3673,112.0099
135,108.2855,112.0099
136,108.8281,112.0099
137,108.5880,112.0099
138,108.3765,112.0099
139,108.2705,112.0099
140,108.1646,112.0099
141,108.0937,112.0099
142,108.0937,112.0099
143,108.0273,112.0099
144,108.2319,112.0099
145,108.2319,112.0099
146,108.0842,112.0099
147,108.2820,112.0099
148,108.0512,112.0099
149,108.9099,112.0099
150,108.8384,112.0099
151,108.8384,112.0099
152,108.8346,112.0099
153,108.4890,112.0099
154,108.4321,112.0099
155,108.2850,112.0099
156,108.0464,112.0099
157,108.2520,112.0099
158,108.2513,112.0099
159,108.0020,112.0099
160,107.7819,112.0099
161,107.7867,112.0099
162,107.8421,112.0099
163,107.7180,112.0099
164,108.1095,112.0099
165,107.9763,112.0099
166,107.9763,112.0099
167,107.7564,112.0099
168,107.6043,112.0099
169,107.6043,112.0099
170,107.3817,112.0099
171,107.2845,112.0099
172,107.4754,112.0099
173,107.4086,112.0099
174,108.0669,112.0099
175,108.0669,112.0099
176,108.0669,112.0099
177,108.2925,112.0099
178,108.2215,112.0099
179,108.0646,112.0099
180,108.3304,112.0099
181,108.2510,112.0099
182,107.9483,112.0099
183,107.9444,112.0099
184,107.8801,112.0099
185,107.8115,112.0099
186,107.7406,112.0099
187,107.7515,112.0099
188,107.3832,112.0099
189,107.7261,112.0099
190,107.7418,112.0099
191,107.6156,112.0099
192,107.6250,112.0099
193,107.6250,112.0099
194,107.6142,112.0099
195,107.5584,112.0099
196,107.3821,112.0099
197,107.9082,112.0099
198,108.0604,112.0099
199,108.0604,112.0099
200,107.8825,112.0099
201,107.7401,112.0099
202,107.5707,112.0099
203,107.5109,112.0099
204,107.5136,112.0099
205,107.3716,112.0099
206,107.4446,112.0099
207,107.8145,112.0099
208,108.1115,112.0099
209,107.9722,112.0099
210,107.9626,112.0099
211,107.8879,112.0099
212,107.9704,112.0099
213,107.8119,112.0099
214,107.6779,112.0099
215,107.5881,112.0099
216,107.5277,112.0099
217,107.6579,112.0099
218,107.5279,112.0099
219,107.4340,112.0099
220,107.5142,112.0099
221,107.5778,112.0099
222,107.3848,112.0099
223,107.3247,112.0099
224,107.5268,112.0099
225,108.0978,112.0099
226,108.0726,112.0099
227,108.3913,112.0099
228,108.2708,112.0099
229,108.4958,112.0099
230,108.4385,112.0099
231,108.4495,112.0099
232,108.4495,112.0099
233,108.3887,112.0099
234,108.3887,112.0099
235,108.1948,112.0099
236,108.0728,112.0099
237,107.9443,112.0099
238,107.9537,112.0099
239,108.3967,112.0099
240,108.3967,112.0099
241,108.2790,112.0099
242,108.2890,112.0099
243,108.2189,112.0099
244,108.2189,112.0099
245,108.1592,112.0099
246,108.3157,112.0099
247,108.4011,112.0099
248,108.4111,112.0099
249,108.2994,112.0099
250,108.2282,112.0099
251,107.0265,114.0616
252,104.3337,114.0616
253,98.8563,114.7016
254,88.7243,114.7016
255,88.6385,114.7016
256,95.2257,114.7016
257,92.3715,114.7016
258,98.5562,114.7016
259,104.8877,114.7016
260,104.7813,114.7016
261,104.6526,114.7016
262,104.5763,114.7016
263,104.6019,114.7016
264,104.4809,114.7016
265,104.4302,114.7016
266,104.4302,114.7016
267,104.3464,114.7016
268,104.1440,114.7016
269,104.0549,114.7016
270,104.1150,114.7016
271,104.1150,114.7016
272,104.1150,114.7016
273,104.1150,114.7016
274,104.1150,114.7016
275,104.0656,114.7016
276,104.0656,114.7016
277,103.9565,114.7016
278,104.1265,114.7016
279,104.0797,114.7016
280,104.0554,114.7016
281,104.0554,114.7016
282,104.0554,114.7016
283,104.0032,114.7016
284,104.0032,114.7016
285,103.9623,114.7016
286,104.2254,114.7016
287,104.1661,114.7016
288,104.2526,114.7016
289,104.2526,114.7016
290,104.2526,114.7016
291,104.2526,114.7016
292,104.2526,114.7016
293,104.3326,114.7016
294,104.3326,114.7016
295,104.3326,114.7016
296,104.3326,114.7016
297,104.3807,114.7016
298,104.6263,114.7016
299,104.5671,114.7016
300,104.5671,114.7016
301,104.5085,114.7016
302,104.4579,114.7016
303,104.4579,114.7016
304,104.4579,114.7016
305,104.3788,114.7016
306,104.1346,114.7016
307,102.8570,114.7016
308,101.9930,114.7016
309,99.9527,114.7016
310,98.4150,114.7016
311,96.4019,114.7016
312,102.6497,114.7016
313,97.8292,114.7016
314,90.1827,114.7016
315,93.1648,114.7016
316,94.6372,114.7016
317,99.9914,114.7016
318,109.6241,114.7016
319,106.4572,115.1739
320,100.5355,115.1739
321,90.3613,115.1739
322,91.8492,115.1739
323,92.3557,116.4812
324,91.1590,116.4812
325,91.2568,116.4812
326,91.3096,116.4812
327,91.3096,116.4812
328,91.3372,116.4812
329,91.3307,116.4812
330,91.3307,116.4812
331,91.2829,116.4812
332,91.2829,116.4812
333,91.2812,116.4812
334,91.2627,116.4812
335,91.2651,116.4812
336,91.3341,116.4812
337,91.2701,116.4812
338,91.1830,116.4812
339,91.1830,116.4812
340,91.3494,116.4812
341,91.3749,116.4812
342,91.3401,116.4812
343,91.2591,116.4812
344,91.2591,116.4812
345,91.2525,116.4812
346,91.2505,116.4812
347,91.2076,116.4812
348,91.1649,116.4812
349,91.2155,116.4812
350,91.2155,116.4812
