gen,avg_fitness,min_fitness,max_fitness,avg_gain,avg_distance
0,-0.691788013152589,-12.810889132455351,0.0,-83.68705932999818,13.262804984241834
1,-1.4091978045700884,-12.810889132455351,0.0,-68.46127370888598,12.990743034243906
2,-4.048240965855891,-12.810889132455351,0.0,-48.67072154587735,12.54850029254493
3,-7.159456898023618,-15.007041555161983,0.0,-42.65161649149279,11.349410315701782
4,-9.02252620328641,-15.007041555161983,0.0,-35.16601770907578,10.625223682647633
5,-8.37100098455011,-15.007041555161983,0.0,-38.68783708050078,10.230254828353662
6,-9.066449251740544,-15.007041555161983,0.0,-36.45550622415588,10.09360460610611
7,-8.477148351647598,-12.810889132455351,0.0,-38.117940174565845,9.685519607307874
8,-9.615487357417202,-13.908965343808667,0.0,-36.94844589188123,9.220472095704132
9,-10.446365024007875,-12.810889132455351,0.0,-35.3527921115983,8.554111510271095
10,-11.086909480630643,-12.810889132455351,0.0,-32.61464085012441,6.779937587573245
11,-12.51440855538995,-12.810889132455351,0.0,-28.330142063321784,3.5685543058974063
12,-12.631536684600968,-12.810889132455351,-11.346787517317598,-26.5714043514392,2.526259725266434
13,-12.199626708135334,-13.542939940024233,0.0,-27.11159109095086,3.8213640800314104
14,-12.217927978324553,-12.810889132455351,-11.346787517317598,-26.43655061643374,4.662387979761521
15,-11.928767909334846,-13.908965343808667,-11.346787517317598,-26.221609335855042,4.092323053333928
16,-11.40169132788526,-12.810889132455351,-11.346787517317598,-23.117393008477737,0.6701082538309782
17,-11.346787517317596,-11.346787517317598,-11.346787517317598,-22.805767854820747,0.029513390260915963
18,-11.346787517317596,-11.346787517317598,-11.346787517317598,-22.805767854820747,0.04047752824841246
19,-11.346787517317596,-11.346787517317598,-11.346787517317598,-22.805767854820747,0.08484479019509936
20,-11.346787517317596,-11.346787517317598,-11.346787517317598,-22.805767854820747,0.07351422279748607
