gen,avg_distance
0,13.284140116436069
1,13.018581652943888
2,12.540382521404142
3,11.37257715450256
4,9.569456391254835
5,7.547993908983028
6,5.805600337464128
7,5.5566985878371415
8,5.517978487536038
9,5.406166157177562
10,4.293915351222374
11,3.4243823004652287
12,1.958085617264055
13,1.9092416928680678
14,1.4407995211982585
15,1.3849189850143022
16,1.4373733604088055
17,0.9205029604457224
18,0.22006778871685584
19,0.10529574466469806
20,0.06387521631944124
21,0.04538126098759026
22,0.04881258263747313
23,0.04067167929607081
24,0.053342818992110526
25,0.05297459002233058
26,0.04545902960428558
27,0.06098845993812501
28,0.056371907408249995
29,0.043688712419854094
30,0.05081726092169585
31,0.045469254255998036
32,0.04758677381729687
33,0.055223543559381146
34,0.06083662139599846
35,0.06337302717967797
36,0.07812888262713427
37,0.07822360184137435
38,0.07961701495073589
39,0.090747945852178
40,0.10202414313218455
41,0.10190128575062678
42,0.09561332495260293
43,0.10136824063694913
44,0.11316882610458236
45,0.11345874154967399
46,0.14886093076139048
47,0.1402067499157629
48,0.173527707924249
49,0.14645219900981016
50,0.14350811498901944
