gen,avg_enemy_life,std_enemy_life,min_enemy_life,max_enemy_life,avg_player_life,std_player_life,min_player_life,max_player_life,avg_time,std_time,min_time,max_time,avg_gain,std_gain,min_gain,max_gain,avg_distance
0,78.92885453865887,35.425171437848604,-2.426406871192853,100.0,-7.7212017020053905,5.705954935501294,-17.422809220139285,0.0,nan,nan,nan,nan,-86.65005624066426,36.2424859022505,-117.42280922013929,-0.4587694799962847,13.2857755231609
1,61.85166767138409,40.97017534601226,-2.426406871192853,100.0,-5.921577619502277,5.08193939962645,-16.65415587219197,0.0,nan,nan,nan,nan,-67.77324529088636,40.99284835044883,-111.82262054223743,-0.4587694799962847,12.984756103738688
2,34.6050460836876,39.71366396048702,-6.742346141747674,100.0,-6.333285862109896,5.010642249243446,-17.093386356733298,0.0,nan,nan,nan,nan,-40.938331945797486,41.29706455799109,-110.39512146747812,6.074110889187729,12.275005622899196
3,22.432891428706697,33.48858770168791,-6.742346141747674,100.0,-5.6837780285179464,4.429712678308713,-16.105117766515313,0.0,nan,nan,nan,nan,-28.11666945722464,35.16764568706924,-110.39512146747812,6.074110889187729,10.710349775353636
4,11.190223459562626,25.514708125592865,-7.787192621510002,100.0,-5.002859809504641,4.749831128784459,-16.873771114462635,0.0,151.2368811623861,64.77403558019844,9.351763807830139,278.1541476303263,-16.193083269067266,27.21719521774065,-109.9558909829368,7.187865287540481,9.815043275873782
5,15.085821297306124,32.22962349346067,-9.496621467371853,100.0,-3.8180686030137467,2.8000485694545825,-13.579542480402722,0.0,158.12744411277782,63.551912047478865,21.33807100068094,265.34987954452265,-18.903889900319868,32.7540253880163,-110.39512146747812,7.187865287540481,9.88682139649667
6,12.528433331754089,27.9518538716066,-12.749172176353746,100.0,-4.881355562517365,3.606960809263651,-15.885502524244657,0.0,173.9439129787135,59.88472549658325,14.842138893561295,265.34987954452265,-17.40978889427145,29.299391133123674,-110.39512146747812,8.28660921474098,9.324575392807231
7,-2.4737406264033814,10.942809812421553,-18.30127018922193,32.98437881283576,-4.06582268448995,4.209151068011671,-15.007041555162019,9.322336277061787,205.9772676360603,41.32488727251031,62.71115975196133,278.5710789459471,-1.5920820580865693,14.248043436922648,-42.28142406896056,27.623606466283718,7.195290728602546
8,-7.961524827006704,7.387285329421558,-18.30127018922193,13.52885682970026,-1.942454189973146,5.17590661090533,-8.74800715044814,13.455353366713823,218.75308969572478,20.960234489414503,133.49723875552158,282.2224426050311,6.019070637033559,11.237951551610662,-19.641481072900433,27.924737762289446,5.35072326025996
9,-11.408842680843964,6.5641578873886095,-18.30127018922193,9.270958835523544,-0.12387070709418614,6.164994508084879,-8.74800715044814,10.899863760723829,221.94922701494238,23.215240432747354,147.68543970941897,282.2224426050311,11.284971973749778,11.641816023770742,-14.724737351911728,29.20113394994576,4.767282309533616
10,-14.263038182640216,7.088423651588812,-18.30127018922193,13.257653858252326,3.771761727444804,6.1713523211208985,-8.74800715044814,10.899863760723829,216.67486779922945,22.154922420417922,165.3869085761644,286.8730975360512,18.034799910085027,12.175645176657277,-19.040855238046504,29.20113394994576,4.011335572512891
11,-14.779446635039836,7.380516005422248,-18.30127018922193,9.270958835523544,5.303948035358038,6.224258454695804,-8.528391908177474,10.899863760723829,209.5267587776301,18.1554955133237,165.3869085761644,274.08885884012597,20.08339467039788,12.79038865031788,-15.933557190498366,29.20113394994576,4.455808817520486
12,-14.491012753266336,8.292995076258896,-18.30127018922193,9.270958835523544,6.738345513816987,6.017588024414329,-8.528391908177474,11.387604097557354,210.25423000251584,12.863993277796641,175.41606359936253,261.7917652591129,21.229358267083327,13.790294580654143,-14.724737351911728,29.688874286779285,4.855118217135378
13,-13.51707643822971,9.646624049098032,-18.30127018922193,13.52885682970026,6.820374835463607,6.453536946280809,-8.528391908177474,11.960480052933892,207.3327814421951,12.65542644480232,169.20428731394554,265.3686226703146,20.337451273693326,15.535670220137144,-19.641481072900433,29.973512794327085,4.9602211323666925
14,-17.162050278831103,3.639263816598724,-18.30127018922193,3.4668806854096275,8.554997448029718,5.153324002830607,-9.187237634989467,12.179909638759256,207.2957164063538,11.942281871754798,163.18765534901434,248.59144653069583,25.71704772686082,8.313135379835316,-9.28763462216557,30.481179827981187,3.5796338547056488
15,-17.812403042353964,2.3839011956925193,-18.30127018922193,-0.13139720814412215,10.77180900690972,2.5125091048193045,-1.1813736079043906,12.499869452142203,205.75606414721378,11.926486916545397,106.12796266026143,255.53573455489538,28.584212049263684,4.505783973075431,7.224909925428648,30.801139641364134,2.5872044011338877
16,-18.301270189221924,7.105427357601002e-15,-18.30127018922193,-18.30127018922193,11.702585592984883,0.939232953385907,3.826519668219486,12.928968400205871,206.27615005828596,2.594547471429113,182.56096719787712,216.46821999978297,30.003855782206827,0.939232953385907,22.127789857441417,31.230238589427803,2.0677626268524922
17,-18.188927371639824,0.6388083020337502,-18.30127018922193,-14.556509603151802,11.39107826779037,2.5686843613433528,-0.3231159835089521,12.928968400205871,206.5662432471427,3.16155453695951,182.56096719787712,218.39851708001711,29.58000563943019,3.0989211619250563,14.23339361964285,31.230238589427803,1.9189838647083717
18,-18.301270189221924,7.105427357601002e-15,-18.30127018922193,-18.30127018922193,12.289085780407852,0.48190491552487175,10.299843260958307,12.928968400205871,206.55559890562967,0.7807392712392106,205.17367457727073,214.19938001739158,30.590355969629776,0.4819049155248718,28.601113450180236,31.230238589427803,1.4049264916918747
19,-18.301270189221924,7.105427357601002e-15,-18.30127018922193,-18.30127018922193,12.646303872144113,0.3082691781013276,12.019934771807787,12.928968400205871,206.51840097028892,0.017717683859705853,206.41799027172166,206.61720453081887,30.94757406136604,0.3082691781013276,30.321204961029718,31.230238589427803,0.6348750885012977
20,-18.301270189221924,7.105427357601002e-15,-18.30127018922193,-18.30127018922193,12.864712582366778,0.15185068627143508,12.229657429847222,12.928968400205871,206.52042258243054,0.010401548611345514,206.51907087880016,206.61720453081887,31.165982771588716,0.15185068627143508,30.530927619069153,31.230238589427803,0.23566731013141717
