gen,avg_enemy_life,std_enemy_life,min_enemy_life,max_enemy_life,avg_player_life,std_player_life,min_player_life,max_player_life,avg_time,std_time,min_time,max_time,avg_gain,std_gain,min_gain,max_gain,avg_distance
0,82.99527131684557,27.68895395053796,20.845240525773498,100.0,-0.691788013152589,2.4536782607496184,-12.810889132455351,0.0,230.9002285057752,84.13667327996467,68.61695199343757,567.2392179952183,-83.68705932999818,26.284398314003813,-100.0,-31.07310727344887,13.262804984241834
1,67.0520759043159,30.284658812739423,20.845240525773498,100.0,-1.4091978045700884,3.482583130221621,-12.810889132455351,0.0,216.57295013665325,82.88685029601365,48.318058057829376,371.51131792671157,-68.46127370888598,28.360011352350025,-100.0,-31.07310727344887,12.990743034243906
2,44.62248058002146,26.725095269003972,18.886192144351007,100.0,-4.048240965855891,5.269194721318102,-12.810889132455351,0.0,209.76822047158225,74.61465971068436,96.17696860711547,371.4330035400408,-48.67072154587735,23.617794032731375,-100.0,-26.108762555810376,12.54850029254493
3,35.49215959346916,23.192977471114396,18.886192144351007,100.0,-7.159456898023618,5.899330347621668,-15.007041555161983,0.0,218.48279158823905,71.35170389308905,96.17696860711547,383.06254890456836,-42.65161649149279,19.278561832441067,-100.0,-26.108762555810376,11.349410315701782
4,26.143491505789374,11.102733980251681,13.257653858252326,71.106403689245,-9.02252620328641,5.421471361839096,-15.007041555161983,0.0,234.21590958655545,62.70935701327519,96.17696860711547,368.48640322068957,-35.16601770907578,7.923371395806931,-71.106403689245,-21.401542420291996,10.625223682647633
5,30.316836095950666,18.9407950957379,13.257653858252326,100.0,-8.37100098455011,5.935405242789251,-15.007041555161983,0.0,238.66328906700298,54.500792104507155,109.00645453239582,387.84933362376665,-38.68783708050078,15.062674830590275,-100.0,-21.401542420291996,10.230254828353662
6,27.389056972415343,16.661043460939396,13.025434693621008,100.0,-9.066449251740544,5.5974021246147885,-15.007041555161983,0.0,232.02372547916343,56.1376113403963,102.19755405569579,401.326254365176,-36.45550622415588,13.020608012637537,-100.0,-19.784330406919747,10.09360460610611
7,29.640791822918253,20.122519829832395,13.025434693621008,100.0,-8.477148351647598,5.7478156867647225,-12.810889132455351,0.0,239.22376819743238,53.4261232396546,88.31638565367605,368.48640322068957,-38.117940174565845,15.995655927363696,-100.0,-19.784330406919747,9.685519607307874
8,27.332958534464023,18.67835629402066,13.025434693621008,93.1698729810778,-9.615487357417202,5.284183647160483,-13.908965343808667,0.0,250.6036922245192,40.276173923836645,110.08666202990102,368.48640322068957,-36.94844589188123,14.802715793111762,-93.1698729810778,-21.401542420291996,9.220472095704132
9,24.906427087590426,18.159544706942338,13.025434693621008,100.0,-10.446365024007875,4.733324134873332,-12.810889132455351,0.0,251.70845115178355,35.13816229956875,111.49927114012378,365.9073045402705,-35.3527921115983,14.951729906197535,-100.0,-25.3364921831388,8.554111510271095
10,21.527731369493765,11.193072207004239,13.025434693621008,69.50961894323342,-11.086909480630643,4.2933687702612495,-12.810889132455351,0.0,255.78843315132582,17.257116908082534,162.06676858999688,332.19043957171124,-32.61464085012441,7.72821388117244,-69.50961894323342,-25.83632382607636,6.779937587573245
11,15.815733507931832,4.020481592175072,11.458980337503156,28.886192144351007,-12.51440855538995,1.8026110116030585,-12.810889132455351,0.0,252.586453129511,9.161144696303898,195.5677792514969,273.6319921883485,-28.330142063321784,3.698567413582967,-36.12390330451199,-22.805767854820754,3.5685543058974063
12,13.939867666838222,2.77320310024949,11.458980337503156,20.845240525773498,-12.631536684600968,0.4672956177536262,-12.810889132455351,-11.346787517317598,247.28672938669465,17.452763232940498,195.5677792514969,267.5065224790041,-26.5714043514392,2.8933918839312884,-33.65612965822885,-22.805767854820754,2.526259725266434
13,14.911964382815524,3.8656483464448597,11.458980337503156,28.02543469362101,-12.199626708135334,2.0905498560444444,-13.542939940024233,0.0,242.65895394070253,27.952942327369467,121.41761192259018,271.6852206860287,-27.11159109095086,3.468433748143281,-33.65612965822885,-22.805767854820754,3.8213640800314104
14,14.218622638109174,3.606261189429486,11.458980337503156,23.31301417205664,-12.217927978324553,0.692126842586213,-12.810889132455351,-11.346787517317598,233.48568057812022,27.964168870966372,195.5677792514969,271.3865974570318,-26.43655061643374,3.971763790986231,-36.12390330451199,-22.805767854820754,4.662387979761521
15,14.292841426520184,3.9625266352020616,11.458980337503156,20.845240525773498,-11.928767909334846,0.7248689322200319,-13.908965343808667,-11.346787517317598,220.14548358439578,29.783666663116694,181.61460873984348,262.8618321592649,-26.221609335855042,4.473295458500749,-33.65612965822885,-22.805767854820754,4.092323053333928
16,11.715701680592481,1.33464967243139,11.458980337503156,20.845240525773498,-11.40169132788526,0.26075296274327797,-12.810889132455351,-11.346787517317598,197.96738766940288,12.384425052994724,184.9325076324141,271.2511682498095,-23.117393008477737,1.4788422806216759,-32.55805344687553,-22.805767854820754,0.6701082538309782
17,11.458980337503158,1.7763568394002505e-15,11.458980337503156,11.458980337503156,-11.346787517317596,1.7763568394002505e-15,-11.346787517317598,-11.346787517317598,195.5626015244036,0.03624408965361852,195.30889289682818,195.5677792514969,-22.805767854820747,7.105427357601002e-15,-22.805767854820754,-22.805767854820754,0.029513390260915963
