gen,avg_fitness,min_fitness,max_fitness,avg_gain,avg_distance
0,-7.7212017020053905,-17.422809220139285,0.0,-86.65005624066426,13.2857755231609
1,-5.921577619502277,-16.65415587219197,0.0,-67.77324529088636,12.984756103738688
2,-6.333285862109896,-17.093386356733298,0.0,-40.938331945797486,12.275005622899196
3,-5.6837780285179464,-16.105117766515313,0.0,-28.11666945722464,10.710349775353636
4,-5.002859809504641,-16.873771114462635,0.0,-16.193083269067266,9.815043275873782
5,-3.8180686030137467,-13.579542480402722,0.0,-18.903889900319868,9.88682139649667
6,-4.881355562517365,-15.885502524244657,0.0,-17.40978889427145,9.324575392807231
7,-4.06582268448995,-15.007041555162019,9.322336277061787,-1.5920820580865693,7.195290728602546
8,-1.942454189973146,-8.74800715044814,13.455353366713823,6.019070637033559,5.35072326025996
9,-0.12387070709418614,-8.74800715044814,10.899863760723829,11.284971973749778,4.767282309533616
10,3.771761727444804,-8.74800715044814,10.899863760723829,18.034799910085027,4.011335572512891
11,5.303948035358038,-8.528391908177474,10.899863760723829,20.08339467039788,4.455808817520486
12,6.738345513816987,-8.528391908177474,11.387604097557354,21.229358267083327,4.855118217135378
13,6.820374835463607,-8.528391908177474,11.960480052933892,20.337451273693326,4.9602211323666925
14,8.554997448029718,-9.187237634989467,12.179909638759256,25.71704772686082,3.5796338547056488
15,10.77180900690972,-1.1813736079043906,12.499869452142203,28.584212049263684,2.5872044011338877
16,11.702585592984883,3.826519668219486,12.928968400205871,30.003855782206827,2.0677626268524922
17,11.39107826779037,-0.3231159835089521,12.928968400205871,29.58000563943019,1.9189838647083717
18,12.289085780407852,10.299843260958307,12.928968400205871,30.590355969629776,1.4049264916918747
19,12.646303872144113,12.019934771807787,12.928968400205871,30.94757406136604,0.6348750885012977
20,12.864712582366778,12.229657429847222,12.928968400205871,31.165982771588716,0.23566731013141717
