gen,avg_enemy_life,std_enemy_life,min_enemy_life,max_enemy_life,avg_player_life,std_player_life,min_player_life,max_player_life,avg_time,std_time,min_time,max_time,avg_gain,std_gain,min_gain,max_gain
0,82.73620978904648,28.97165809751581,-4.245394984985676,100.0,-0.3479393923933998,1.5313433012235826,-9.664983122038887,0.0,nan,nan,nan,nan,-83.08414918143986,28.01292634713956,-100.0,-1.9465369061814677
1,87.1982258336476,24.504972949940658,-1.919456342634085,100.0,-0.11321837371531326,0.5920598131398712,-3.8659932488155526,0.0,nan,nan,nan,nan,-87.31144420736292,24.248344871299686,-101.79492543695011,-1.9465369061814677
2,85.39076560815646,29.22552124819623,-11.045694996615861,100.0,0.005542980175154568,0.9768401219534413,-4.743738555935586,5.020887564693314,nan,nan,nan,nan,-85.38522262798129,29.25063773158966,-100.0,13.305158812155216
3,84.05271886577903,30.185778393739678,-4.245394984985676,100.0,-0.5694055770755488,2.065802558130087,-9.664983122038887,0.0,nan,nan,nan,nan,-84.62212444285457,29.073791568131444,-105.2743193608841,-5.419588137053211
4,89.9545958010818,24.211363965357233,4.409739159895629,100.0,-0.07731986497631105,0.5412390548341772,-3.8659932488155526,0.0,nan,nan,nan,nan,-90.03191566605813,23.94953193397156,-100.0,-4.409739159895629
5,90.44164153653884,21.94408308019299,-2.913359580039373,100.0,-0.17673111994585392,1.2371178396209772,-8.836555997292695,0.0,nan,nan,nan,nan,-90.6183726564847,21.214989393816868,-100.0,-5.9231964172533225
6,80.09899854184486,35.79072422304631,-12.426406871192853,100.0,-0.02610154157191431,2.9099806409626963,-10.76955262170047,13.506186818763517,159.22999856578363,81.59123516038291,6.479484568003898,307.1841814030642,-80.12510008341678,35.887334194994615,-100.0,21.79045806622542
7,84.75189944669008,32.37498079936471,-12.426406871192853,100.0,-0.17914091098305732,1.4615611971165068,-6.848330897901885,5.623271846380124,nan,nan,nan,nan,-84.93104035767311,32.406813484208705,-106.84833089790189,18.049678717572977
8,84.0568157518346,30.565711901812527,-12.426406871192853,100.0,-0.3411438078336709,2.1366434613483514,-9.664983122038887,5.862626726294387,nan,nan,nan,nan,-84.39795955966827,29.79421293942045,-100.0,18.28903359748724
9,85.80266425447462,27.054228911220893,-8.284271247461902,100.0,-0.08454419549770406,1.398402246632086,-6.627416997969522,6.266200471899872,nan,nan,nan,nan,-85.88720844997232,26.935164790785844,-100.0,14.550471719361774
10,89.14624126551047,22.88508150199364,-1.919456342634085,100.0,-0.07179701747800316,0.502579122346022,-3.589850873900158,0.0,nan,nan,nan,nan,-89.21803828298847,22.603164605016538,-100.0,-1.6703945312660728
11,85.83710665781338,28.780692223514713,-1.919456342634085,100.0,-0.23306416442859618,0.8559729474574505,-4.197364098714067,0.0,nan,nan,nan,nan,-86.070170822242,28.39681096725838,-104.19736409871406,-1.9465369061814677
12,89.67953345246958,22.045011713142674,-1.919456342634085,100.0,-0.05633304448274154,0.38651884072592824,-2.7614237491539653,0.0,nan,nan,nan,nan,-89.73586649695233,21.818271988386858,-100.05522847498311,-0.8419674065198803
13,87.4616812783477,28.441815072183804,-1.919456342634085,100.0,-0.2822175071635368,0.9466697092876978,-4.197364098714067,0.0,nan,nan,nan,nan,-87.74389878551123,27.976603803993704,-104.19736409871406,-1.6895691688330534
14,85.61719499761185,26.791277755494296,0.8611420440868631,100.0,-0.2512895611730116,1.4112172249068817,-9.941125496954278,0.0,179.05204665343618,82.85932335044564,8.636829803332033,303.77205116160513,-85.86848455878484,26.224542357540038,-100.0,-1.6895691688330534
15,83.831919130889,31.10619109256579,-1.919456342634085,100.0,-0.23195959492893314,0.9181225268522993,-3.8659932488155526,0.0,178.8449702332988,80.96160169465503,11.01039853966631,310.4579996216699,-84.06387872581794,30.47386363135889,-100.0,-1.9465369061814677
16,82.63253276700608,30.675975304177832,-1.919456342634085,100.0,-0.36450793488832367,1.633157460120006,-10.493410246785078,0.0,172.9191148824526,80.40851156210472,11.01039853966631,324.04770030902904,-82.99704070189442,29.7310098381143,-100.0,-1.9465369061814677
17,78.92351870540841,35.48319767173583,-1.919456342634085,100.0,-0.5959152450674265,1.7693645921307743,-9.388840747123485,0.0,nan,nan,nan,nan,-79.51943395047583,34.41829797630183,-103.28609426149325,-1.9465369061814677
18,86.7251774966297,27.18512309311537,-1.919456342634085,100.0,-0.25405098492216494,1.340175589586535,-8.836555997292695,0.0,nan,nan,nan,nan,-86.97922848155186,26.394377262412505,-100.0,-1.9465369061814677
19,79.84684667221694,34.920034250704155,-5.590260840104371,100.0,-0.7715417955136189,2.317348968735674,-9.664983122038887,0.0,175.28694318281006,87.45484019858316,11.01039853966631,311.5690478670119,-80.61838846773054,33.2656745496111,-100.0,2.6355374285095943
20,81.28533398801717,31.917216976928092,-11.045694996615861,100.0,-0.4561824742971801,1.9293276738839853,-9.664983122038887,0.11069340311891906,177.6624203445538,81.59096799879457,11.01039853966631,308.20101012677674,-81.74151646231435,30.895719586369314,-100.0,11.15638839973478
