Generation,Avg_Scalar_Fitness,Max_Scalar_Fitness,Avg_Defeated_Enemies,Max_Defeated_Enemies,Avg_Gain,Max_Gain,Avg_Life,Max_Life,Avg_Time,Min_Time,Euclidean_Diversity,Std_Dev
0,37.422389026777616,504.05631815828804,0.2875,3,22.389566314306133,261.10695259391355,50.22300000000021,142.20000000000078,1.3807156860159233e+20,9.963508914693708e+17,13.257014957020843,0.5753565040089968
1,119.13856479096337,556.8321068322371,0.5525,3,-26.807261653951223,261.10695259391355,60.80800000000025,163.60000000000008,1.4978655725032063e+20,9.963508914693708e+17,13.200685633997914,0.5727178026558931
2,198.83268301479768,556.8321068322371,0.975,3,-95.34884546863897,261.10695259391355,63.990000000000265,163.60000000000008,9.630981979799486e+19,9.963508914693708e+17,13.191654428535715,0.5719056753077488
3,217.42166513334217,576.0655979685757,1.0875,4,-87.90590812229362,261.10695259391355,72.49300000000027,196.60000000000034,9.655057169443838e+19,8.216067038699482e+17,13.195671149796034,0.5711850831781495
4,241.71623022327714,576.0655979685757,1.2375,4,-96.91121157063544,261.10695259391355,77.35750000000029,196.60000000000034,1.1957267219289388e+20,6.901578395712015e+17,13.185891665334479,0.5691159129496619
5,334.3988657205916,576.0655979685757,1.775,4,-133.70872890925108,261.10695259391355,95.94050000000033,196.60000000000034,4.551677346697053e+19,6.901578395712015e+17,13.144107630487422,0.5650614286200868
0,37.422389026777616,504.05631815828804,0.2875,3,22.389566314306133,261.10695259391355,50.22300000000021,142.20000000000078,1.3807156860159233e+20,9.963508914693708e+17,13.257014957020843,0.5753565040089968
1,119.13856479096337,556.8321068322371,0.5525,3,-26.807261653951223,261.10695259391355,60.80800000000025,163.60000000000008,1.4978655725032063e+20,9.963508914693708e+17,13.200685633997914,0.5727178026558931
2,198.83268301479768,556.8321068322371,0.975,3,-95.34884546863897,261.10695259391355,63.990000000000265,163.60000000000008,9.630981979799486e+19,9.963508914693708e+17,13.191654428535715,0.5719056753077488
3,217.42166513334217,576.0655979685757,1.0875,4,-87.90590812229362,261.10695259391355,72.49300000000027,196.60000000000034,9.655057169443838e+19,8.216067038699482e+17,13.195671149796034,0.5711850831781495
