Enemy 1,Enemy 2,Enemy 3,Enemy 4,Enemy 5,Enemy 6,Enemy 7,Enemy 8
-80.0,-100,-80.0,-80.0,16.000000000000227,-100,-90.0,-80.0
-100,-80.0,-70.0,-80.0,-33.59999999999977,-100,-80.0,-80.0
-80.0,-70.0,-90.0,-90.0,-6.399999999999771,-100,-70.0,-90.0
-80.0,-80.0,-70.0,-80.0,40.000000000000284,-100,-100,-80.0
-100,-80.0,-90.0,-90.0,-30.0,-100,-80.0,-80.0
-100,-60.0,-50.0,-90.0,34.60000000000027,-90.0,-90.0,-80.0
-70.0,-70.0,-80.0,-90.0,56.800000000000324,-100,-100,-90.0
-100,-70.0,-60.0,-90.0,47.2000000000003,-100,-60.0,-90.0
-70.0,-90.0,-80.0,-100,-50.0,-100,-90.0,-90.0
-70.0,-90.0,-70.0,-80.0,4.800000000000228,-100,-90.0,-90.0
