Generation,Avg_Scalar_Fitness,Max_Scalar_Fitness,Avg_Defeated_Enemies,Max_Defeated_Enemies,Avg_Gain,Max_Gain,Avg_Life,Max_Life,Avg_Time,Min_Time,Euclidean_Diversity,Std_Dev
0,-16.2027434651815,220.55996596088647,0.0675,1,-20.97725132010883,42.929225904852046,2.881500000000001,80.0,18880882439.317516,716393327.0000001,13.304413621436296,0.5774263424440651
1,16.613938240606654,232.44948801051925,0.14,1,-41.6485823484052,148.95162940849508,6.533500000000007,80.0,9913697349.987495,433965167.0000002,13.305410360559438,0.5773098814248661
2,58.75004633417362,232.44948801051925,0.2675,1,-65.40291862096475,148.95162940849508,12.48200000000001,80.0,9666336204.054996,433965167.0000002,13.293167436847995,0.5763984082012
3,98.7676138079774,245.88634498987275,0.4825,1,-74.14835428700992,148.95162940849508,22.848000000000017,88.0,11359357477.272495,433965167.0000002,13.244922012275971,0.5738181696067959
4,134.56853200475928,245.88634498987275,0.8075,1,-65.96257226182159,148.95162940849508,37.36450000000001,88.0,8649266491.289997,433965167.0000002,13.148055511210497,0.5685908777799832
5,160.06968752306068,245.88634498987275,0.9075,1,-54.05353014622677,148.95162940849508,49.92,88.0,7366816983.544997,433965167.0000002,13.137189211665566,0.5658136079577157
0,-16.2027434651815,220.55996596088647,0.0675,1,-20.97725132010883,42.929225904852046,2.881500000000001,80.0,18880882439.317516,716393327.0000001,13.304413621436296,0.5774263424440651
1,16.613938240606654,232.44948801051925,0.14,1,-41.6485823484052,148.95162940849508,6.533500000000007,80.0,9913697349.987495,433965167.0000002,13.305410360559438,0.5773098814248661
2,58.75004633417362,232.44948801051925,0.2675,1,-65.40291862096475,148.95162940849508,12.48200000000001,80.0,9666336204.054996,433965167.0000002,13.293167436847995,0.5763984082012
3,98.7676138079774,245.88634498987275,0.4825,1,-74.14835428700992,148.95162940849508,22.848000000000017,88.0,11359357477.272495,433965167.0000002,13.244922012275971,0.5738181696067959
4,134.56853200475928,245.88634498987275,0.8075,1,-65.96257226182159,148.95162940849508,37.36450000000001,88.0,8649266491.289997,433965167.0000002,13.148055511210497,0.5685908777799832
5,160.06968752306068,245.88634498987275,0.9075,1,-54.05353014622677,148.95162940849508,49.92,88.0,7366816983.544997,433965167.0000002,13.137189211665566,0.5658136079577157
6,165.65329534886993,245.88634498987275,0.9025,1,-45.38351323133878,148.95162940849508,54.720000000000006,88.0,10376167180.692495,433965167.0000002,13.124913252204319,0.560286091310851
7,181.5526657636687,287.73632264557705,0.9475,2,-62.4280469864533,42.58100129788433,54.37,92.0,7969975461.08751,433965167.0000002,12.988307734700053,0.5411078443826035
8,176.0631624434547,330.5183513966519,0.965,2,-25.777001425733015,42.58100129788433,64.33,122.0,2876711726.800003,433965167.0000002,13.055672758981968,0.542150128421959
9,171.61581622376968,330.5183513966519,0.935,2,-28.025550975866107,42.58100129788433,62.01,122.0,2634597926.6575007,433965167.0000002,13.179597039845094,0.5473333656444388
10,154.9731634436709,330.5183513966519,0.8725,2,-19.535702890531233,33.58100129788433,59.125,122.0,1622515306.7449996,433965167.0000002,13.007150477355532,0.5027213260790984
11,131.1866909366973,330.5183513966519,0.7425,2,-12.623934653381303,33.58100129788433,53.255,122.0,1209616800.1950002,433965167.0000002,12.380818658428163,0.4722381620123697
12,96.24044013510019,330.5183513966519,0.4875,2,-44.478950752961126,34.97390905015357,30.9,122.0,1279715993.7,433965167.0000002,11.314823611340437,0.4608748978861092
13,39.439964443311574,330.5183513966519,0.15,2,-52.59574302030393,34.97390905015357,9.02,122.0,886034314.7400002,433965167.0000002,6.197355307106501,0.283213762064317
14,40.97325246384119,330.5183513966519,0.16,2,-52.42567020354437,34.97390905015357,9.595,122.0,896291543.2350003,433965167.0000002,6.451469029314612,0.29241750970660124
15,41.21309748039169,330.5183513966519,0.1625,2,-52.25917004079039,34.97390905015357,9.73,122.0,881863240.8500005,433965167.0000002,6.519158768358447,0.29510501625208274
16,42.90445359198349,330.5183513966519,0.1725,2,-51.99509461575419,34.97390905015357,10.39,122.0,893924436.9850005,433965167.0000002,6.765983826783861,0.3043440427621614
17,43.10705348188146,330.5183513966519,0.17,2,-51.50355384579223,34.97390905015357,10.625,122.0,910913640.0250005,433965167.0000002,6.6811568347135,0.30253289514092874
18,37.42618920968584,330.5183513966519,0.13,2,-52.82485435340164,34.97390905015357,8.26,122.0,866670101.2750005,433965167.0000002,5.611926244119717,0.2666803200151299
19,37.221951276966536,330.5183513966519,0.1275,2,-52.81335985128953,34.97390905015357,8.195,122.0,866068766.2750005,433965167.0000002,5.538047749521368,0.26412682773486357
20,38.61669470286519,330.5183513966519,0.135,2,-52.88079236422672,34.97390905015357,8.645,122.0,885147438.1950004,433965167.0000002,5.714947270540667,0.27148755559532134
21,39.37745674863712,330.5183513966519,0.14,2,-53.26375949163441,34.97390905015357,8.775,122.0,890642315.7550005,433965167.0000002,5.856364630427035,0.27633844743755
22,49.72177726836988,338.98271095967885,0.2025,2,-53.407212363299415,34.97390905015357,12.24,122.0,1143460223.4300005,397069343.00000054,7.477392893868774,0.326274269507604
23,70.08051960986919,338.98271095967885,0.3225,2,-52.58571043658044,34.97390905015357,19.41,122.0,1443625094.217501,397069343.00000054,9.598622439908166,0.3989799196275812
24,106.96678893995771,338.98271095967885,0.5175,2,-50.33974268864965,34.97390905015357,32.67,122.0,2103142926.3875015,397069343.00000054,11.501742966004828,0.4764450946078123
25,169.58220528888404,338.98271095967885,0.865,2,-47.52967978052172,34.97390905015357,54.8,122.0,2703121344.2250023,397069343.00000054,12.615293933290074,0.5361340979114352
26,197.2488844087837,338.98271095967885,1.03,2,-51.43608540447806,34.97390905015357,62.88,122.0,2985200218.7625027,397069343.00000054,12.207797679384722,0.5117000390033513
27,205.62401123527735,338.98271095967885,1.0625,2,-60.494192291440534,34.97390905015357,62.825,122.0,3832681875.722506,397069343.00000054,11.947201379674423,0.4948972257659504
28,214.96002434305046,341.01418952332176,1.1125,2,-52.21207984155903,34.97390905015357,68.7,122.0,4534222422.375009,397069343.00000054,12.402269694765312,0.4872185095607363
29,230.90761901048637,341.01418952332176,1.1725,2,-27.936588879792165,34.97390905015357,82.305,122.0,5905156485.897512,397069343.00000054,11.64135922046561,0.4496271064499851
30,210.21325825764646,341.01418952332176,1.245,2,8.234516659850465,34.97390905015357,87.11,122.0,4551993451.775011,397069343.00000054,10.125280672636377,0.39631122884867925
31,233.626523032248,341.01418952332176,1.385,2,1.3188803301086751,34.97390905015357,92.86,128.0,6373311336.600016,397069343.00000054,10.006572098294363,0.41855916429716833
32,282.21498388170244,341.01418952332176,1.6575,2,-22.04726851801138,34.97390905015357,101.84,128.0,10520229764.96003,397069343.00000054,7.11048239768649,0.3937275919939537
33,302.38840615870555,341.01418952332176,1.795,2,-20.764031151043145,34.973588880236186,109.17,128.0,11866219155.432531,397069343.00000054,4.98962693841046,0.3295344480780014
34,296.4369517413027,341.01418952332176,1.755,2,-23.3623695970279,34.973588880236186,106.275,128.0,11674387263.94503,397069343.00000054,5.691462720480379,0.3508631859155373
35,308.8345000069758,341.18271095967884,1.8375,2,-21.271677067169755,29.77055113713861,111.2,128.0,12003196026.655035,395312399.00000006,4.901311168481926,0.3189955761028068
36,309.053445950052,341.18271095967884,1.8375,2,-24.034205120900815,29.77055113713861,110.35,128.0,11960575024.097532,395312399.00000006,5.5510566951018365,0.33352268324287504
