Generation,Avg_Scalar_Fitness,Max_Scalar_Fitness,Avg_Defeated_Enemies,Max_Defeated_Enemies,Avg_Gain,Max_Gain,Avg_Life,Max_Life,Avg_Time,Min_Time,Euclidean_Diversity,Std_Dev
0,22.134569806765295,502.04618409111845,0.25,4,28.502300419531466,247.67717284327188,47.1405000000002,143.40000000000023,1.088188001373304e+20,9.26984357229482e+17,13.280174309021609,0.5763588307888687
1,96.96890822167667,522.3329061519119,0.515,4,-10.431562294459946,247.67952686761527,58.91100000000024,143.40000000000023,1.0279333651692331e+20,4.0627397398855795e+17,13.251535643085319,0.5749685136722945
2,176.12761631334072,565.6425636919197,0.8875,4,-66.91077657963208,247.67952686761527,66.00350000000026,156.0000000000004,6.40604994759833e+19,3.1064785926451206e+17,13.203857392897817,0.5726403997308291
3,219.34309194192102,643.6508476142167,1.105,4,-82.12576287336586,247.67952686761527,75.09750000000027,203.4000000000009,2.756686125452046e+19,3.1064785926451206e+17,13.168170447625396,0.5704796511983601
4,223.84183616374344,643.6508476142167,1.1475,4,-89.52235545103511,247.67717284327188,73.82250000000026,203.4000000000009,1.3892883275950109e+19,3.1064785926451206e+17,13.208681149080673,0.5710667818878926
5,277.6469266218359,643.6508476142167,1.375,4,-111.89923422195073,160.2741739181742,84.24900000000027,203.4000000000009,1.5138843801655605e+19,3.1064785926451206e+17,13.22636387371017,0.5694940550893262
