Generation,Avg_Scalar_Fitness,Max_Scalar_Fitness,Avg_Defeated_Enemies,Max_Defeated_Enemies,Avg_Gain,Max_Gain,Avg_Life,Max_Life,Avg_Time,Min_Time,Euclidean_Diversity,Std_Dev
0,-18.261157607829492,221.10282213899563,0.06,1,-20.240244672843165,61.17119415166789,2.405000000000002,70.0,17974133143.632515,651575230.9999992,13.280174309021609,0.5763588307888687
1,13.153890097434328,221.10282213899563,0.13,1,-42.180340455534264,61.17119415166789,5.176000000000003,70.0,9370390751.6125,651575230.9999992,13.258091268578319,0.5752838553252031
2,59.27875219041829,275.2280498395904,0.27,1,-70.45962870879887,61.17200509794493,10.945500000000006,74.0,8485924895.405003,651575230.9999992,13.215010417846605,0.5730755283035435
3,92.68452690100752,275.2280498395904,0.5,2,-76.32280381783636,61.17200509794493,19.91600000000001,88.0,8653666462.0025,503598478.99999994,13.150250077328216,0.5695578055368969
4,134.89281287813557,275.2280498395904,0.855,2,-75.86193744370749,61.17119415166789,33.96700000000001,88.0,5669407648.955003,503598478.99999994,13.138905368163648,0.5678209474119124
5,150.8930071600692,275.2280498395904,0.985,2,-67.51827171076513,27.987817473143167,41.94700000000001,100.0,3357617944.645,503598478.99999994,13.15734694606801,0.5670220358020376
