Generation,Avg_Scalar_Fitness,Max_Scalar_Fitness,Avg_Defeated_Enemies,Max_Defeated_Enemies,Avg_Gain,Max_Gain,Avg_Life,Max_Life,Avg_Time,Min_Time,Euclidean_Diversity,Std_Dev
0,-13.570748105765382,220.60461164650974,0.0775,1,-21.56894944414436,74.84194271126808,3.4585000000000026,82.0,15869420749.342505,660150458.9999996,13.257859923863041,0.575418393493052
1,21.73348781533551,220.60461164650974,0.15,1,-46.81618213169401,74.84194271126808,6.466500000000004,82.0,9145844511.785,639248734.9999987,13.256683829298256,0.5752262162222995
2,66.16316474677647,228.37125186960506,0.295,1,-70.0102935728181,74.84194271126808,13.255000000000006,82.0,6846909680.605,558708190.9999987,13.226911018347307,0.573582843448997
3,101.78194379392426,245.7586118079674,0.5275,1,-75.419212469647,74.84194271126808,23.186500000000006,82.0,7407677118.652497,558708190.9999987,13.155479841174293,0.5700964580230914
4,136.76852650107503,245.7586118079674,0.855,1,-65.52111064652246,74.84194271126808,37.9885,82.0,3602247058.3025007,558708190.9999987,13.130664484709671,0.568051085457697
5,143.39999865526028,245.7586118079674,0.915,1,-57.2653573030412,29.783896708576236,42.855,82.0,2866105671.6775,447301006.99999934,13.121616052340633,0.5664688998784914
