Generation,Avg_Scalar_Fitness,Max_Scalar_Fitness,Avg_Defeated_Enemies,Max_Defeated_Enemies,Avg_Gain,Max_Gain,Avg_Life,Max_Life,Avg_Time,Min_Time,Euclidean_Diversity,Std_Dev
0,38.39079227007825,595.2259618337202,0.29,4,28.103328706734725,355.6041741529739,52.50800000000021,205.40000000000018,1.3482737621096722e+20,2.471639333363811e+18,13.259462110508165,0.575484457276732
1,117.03663611089,595.2259618337202,0.555,4,-19.85263554005235,355.6041741529739,62.47800000000025,205.40000000000018,9.922568829327563e+19,6.742610588553171e+17,13.21983924827778,0.5735952214584875
2,204.8813687882424,595.2259618337202,0.9875,4,-78.47237265319127,355.6041741529739,71.81750000000028,205.40000000000018,1.0095309788420258e+20,6.742610588553171e+17,13.181705132916345,0.5716741041344007
3,255.0556470882418,595.2259618337202,1.265,4,-87.55558765734,355.6041741529739,85.3115000000003,205.40000000000018,4.08374204624097e+19,6.742610588553171e+17,13.155370425278774,0.5697665818039827
4,283.8538605921151,595.2259618337202,1.375,4,-100.98950546086793,355.6041741529739,90.24850000000032,205.40000000000018,3.698329213188875e+19,6.742610588553171e+17,13.110051066595751,0.5656884967089139
5,315.9838449559913,595.2259618337202,1.6175,4,-128.384957298222,355.6041741529739,91.7690000000003,205.40000000000018,4.675693874584124e+19,4.8999750208819386e+17,13.04003883784041,0.56020634657162
