Generation,Avg_Scalar_Fitness,Max_Scalar_Fitness,Avg_Defeated_Enemies,Max_Defeated_Enemies,Avg_Gain,Max_Gain,Avg_Life,Max_Life,Avg_Time,Min_Time,Euclidean_Diversity,Std_Dev
0,-4.491473561585617,232.4296369975179,0.1175,1,-24.657240596629514,57.75199005893428,5.504000000000003,82.0,17606765897.457508,536065487.00000066,13.268549890678857,0.5758480814072993
1,33.640090954754484,232.4296369975179,0.2175,1,-47.323065017625325,57.75388604832237,10.297000000000008,82.0,10599446981.434996,433965167.0000002,13.237470093922855,0.5742897072366758
2,88.07411681137145,240.97509473735485,0.4275,1,-75.04844153008531,57.75388604832237,18.963500000000007,82.0,9112663313.527494,433965167.0000002,13.21739389435207,0.5729243291360104
3,137.125446353367,240.97509473735485,0.8175,1,-72.95383470611289,38.785559442800675,35.675,82.0,3311332110.965,433965167.0000002,13.172898032006009,0.5700403373722415
4,151.16956816425284,240.97509473735485,0.9125,1,-68.13512994838037,38.785559442800675,41.965,86.0,3293573909.797499,433965167.0000002,13.146373573622842,0.5664868731681142
5,166.73152414200547,240.97509473735485,0.935,1,-58.987150052237865,38.785559442800675,50.32,86.0,3807722074.454999,433965167.0000002,13.048775306800103,0.5570182653308471
0,-4.491473561585617,232.4296369975179,0.1175,1,-24.657240596629514,57.75199005893428,5.504000000000003,82.0,17606765897.457508,536065487.00000066,13.268549890678857,0.5758480814072993
1,33.640090954754484,232.4296369975179,0.2175,1,-47.323065017625325,57.75388604832237,10.297000000000008,82.0,10599446981.434996,433965167.0000002,13.237470093922855,0.5742897072366758
2,88.07411681137145,240.97509473735485,0.4275,1,-75.04844153008531,57.75388604832237,18.963500000000007,82.0,9112663313.527494,433965167.0000002,13.21739389435207,0.5729243291360104
3,137.125446353367,240.97509473735485,0.8175,1,-72.95383470611289,38.785559442800675,35.675,82.0,3311332110.965,433965167.0000002,13.172898032006009,0.5700403373722415
4,151.16956816425284,240.97509473735485,0.9125,1,-68.13512994838037,38.785559442800675,41.965,86.0,3293573909.797499,433965167.0000002,13.146373573622842,0.5664868731681142
5,166.73152414200547,240.97509473735485,0.935,1,-58.987150052237865,38.785559442800675,50.32,86.0,3807722074.454999,433965167.0000002,13.048775306800103,0.5570182653308471
6,170.0416259073992,240.97509473735485,0.925,1,-71.19820994536802,38.785559442800675,47.245,86.0,3435740469.755,433965167.0000002,12.960498022715383,0.5487615845369294
7,143.52656981264698,240.97509473735485,0.885,1,-76.264636423534,25.975590780714725,36.35,86.0,1991651546.82,433965167.0000002,13.16510940213341,0.534052228254159
8,140.75941390899507,279.16415665986074,0.815,2,-72.02553907670017,25.975590780714725,36.97,108.0,2067858141.767499,433965167.0000002,13.061242389663105,0.5374805001637564
9,118.3826225516012,279.16415665986074,0.6575,2,-63.109308462736806,25.975590780714725,32.32,108.0,1834262309.5624986,433965167.0000002,13.076099545578005,0.5317362542892982
10,147.3047428911927,279.16415665986074,0.7875,2,-84.67881592291276,22.17365462797295,34.905,108.0,2392935690.0724974,433965167.0000002,12.996778061551845,0.5189016027439224
11,117.36936798640454,279.16415665986074,0.7175,2,-88.99131848265047,22.17365462797295,23.175,108.0,1442470044.5149972,433965167.0000002,12.589646930638477,0.40213142328779694
12,86.31055813015213,307.15361294965305,0.5125,2,-73.84811407344567,22.17365462797295,17.705,108.0,838025989.9049997,433965167.0000002,12.27293808272562,0.4209225843783578
13,34.85192480486113,307.15361294965305,0.1125,2,-53.66611563443828,22.17365462797295,7.095,108.0,705193539.115,433965167.0000002,6.361974576013392,0.2542921154334421
14,36.54024505062401,307.15361294965305,0.1225,2,-53.47205394636653,22.17365462797295,7.73,108.0,724120477.075,433965167.0000002,6.702092037927735,0.26427141281331173
15,35.35057884759506,307.15361294965305,0.115,2,-52.93214447136198,22.17365462797295,7.505,108.0,711076829.74,433965167.0000002,6.395275158747431,0.25478038134432823
16,36.0842759061789,307.15361294965305,0.12,2,-53.30211594246678,22.17365462797295,7.63,108.0,715507932.76,433965167.0000002,6.556861241957941,0.2602939405298539
17,36.84596654166123,307.15361294965305,0.125,2,-53.50359058227906,22.17365462797295,7.82,108.0,719159774.26,433965167.0000002,6.709212364691483,0.26567528520853756
18,37.287810255721986,307.15361294965305,0.1275,2,-53.469579359960306,22.17365462797295,7.98,108.0,720573253.48,433965167.0000002,6.778569716808423,0.26798888794290227
19,37.287810255721986,307.15361294965305,0.1275,2,-53.469579359960306,22.17365462797295,7.98,108.0,720573253.48,433965167.0000002,6.7785697168084225,0.26798888794290227
20,37.287810255721986,307.15361294965305,0.1275,2,-53.469579359960306,22.17365462797295,7.98,108.0,720573253.48,433965167.0000002,6.7785697168084225,0.26798888794290227
21,37.88069616873717,307.15361294965305,0.1325,2,-53.66306634576893,22.17365462797295,8.115,108.0,722620841.02,433965167.0000002,6.9032893296036555,0.2723804595281396
22,36.02066195738783,307.15361294965305,0.12,2,-54.50509870997966,13.17096128379518,7.21,108.0,718818806.56,433965167.0000002,6.3961845726153905,0.2599930447366474
